id,cod_etab,lib_etab,cod_dip,lib_dip,cod_fil,lib_fil,annee,nbr
globaldipfiliere_1,FDA,Faculté de Droit Aïn Sebaa,LEF,License dEtudes Fondamentales,S976,Sc. Economiques et Gestion,2014,6213
globaldipfiliere_2,FDM,Faculté de Droit Mohammedia,LEF,License dEtudes Fondamentales,D898,Droit En Arabe,2014,2544
globaldipfiliere_3,FDM,Faculté de Droit Mohammedia,LEF,License dEtudes Fondamentales,D340,Droit En Français,2014,1115
globaldipfiliere_4,FDM,Faculté de Droit Mohammedia,LEF,License dEtudes Fondamentales,L315,Licence Fondamentale en SCiences Economiques et Gestion,2014,105
globaldipfiliere_5,FDM,Faculté de Droit Mohammedia,LEF,License dEtudes Fondamentales,S372,Sciences Economiques et Gestion,2014,3847
globaldipfiliere_6,FLB,Faculté des Lettres Ben M'Sik,LEF,License dEtudes Fondamentales,E738,ETUDES ANGLAISES,2014,2807
globaldipfiliere_7,FLB,Faculté des Lettres Ben M'Sik,LEF,License dEtudes Fondamentales,E350,ETUDES ARABES,2014,2043
globaldipfiliere_8,FLB,Faculté des Lettres Ben M'Sik,LEF,License dEtudes Fondamentales,E590,ETUDES FRANCAISES,2014,3160
globaldipfiliere_9,FLB,Faculté des Lettres Ben M'Sik,LEF,License dEtudes Fondamentales,G720,GEOGRAPHIE,2014,298
globaldipfiliere_10,FLB,Faculté des Lettres Ben M'Sik,LEF,License dEtudes Fondamentales,H410,HISTOIRE ET CIVILISATION,2014,566
globaldipfiliere_11,FLB,Faculté des Lettres Ben M'Sik,LEF,License dEtudes Fondamentales,L393,Licence Fondamentale  Etudes Islamiques,2014,1293
globaldipfiliere_12,FLB,Faculté des Lettres Ben M'Sik,LEF,License dEtudes Fondamentales,P740,PHILOSOPHIE,2014,1023
globaldipfiliere_13,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L343,Licence  Fondamentale Etudes Anglaises,2014,1163
globaldipfiliere_14,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L988,Licence  Fondamentale Etudes Arabes,2014,3115
globaldipfiliere_15,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L318,Licence  Fondamentale Etudes Françaises,2014,1517
globaldipfiliere_16,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L875,Licence  Fondamentale Etudes Hispaniques,2014,822
globaldipfiliere_17,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L363,Licence  Fondamentale Etudes Islamiques,2014,1676
globaldipfiliere_18,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L704,Licence  Fondamentale Géographie,2014,803
globaldipfiliere_19,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L230,Licence Fondamentale Histoire et Civilisation,2014,259
globaldipfiliere_20,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L106,Licence Fondamentale Psychologie,2014,2108
globaldipfiliere_21,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L204,Licence Fondamentale Sociologie,2014,667
globaldipfiliere_22,FSB,Faculté des Sciences Ben M'Sik,DOC,Doctorat,D877,Doctorat Géologie,2014,120
globaldipfiliere_23,FSB,Faculté des Sciences Ben M'Sik,LEF,License dEtudes Fondamentales,L605,Licence Etudes Fondamentales Science Matière Physique,2014,9151
globaldipfiliere_24,FSB,Faculté des Sciences Ben M'Sik,LEF,License dEtudes Fondamentales,L362,Licence Fondamentale SMC,2014,7916
globaldipfiliere_25,FSB,Faculté des Sciences Ben M'Sik,LEF,License dEtudes Fondamentales,L555,Licence Fondamentales SMA,2014,204
globaldipfiliere_26,FSB,Faculté des Sciences Ben M'Sik,LEF,License dEtudes Fondamentales,L904,Licence Fondamentales SMI,2014,1058
globaldipfiliere_27,FSB,Faculté des Sciences Ben M'Sik,LEF,License dEtudes Fondamentales,L206,Licence Fondamentales STU,2014,75
globaldipfiliere_28,FSB,Faculté des Sciences Ben M'Sik,LEF,License dEtudes Fondamentales,L275,Licence Fondamentales SVI,2014,7887
globaldipfiliere_29,FST,Faculté des Sciences et Techniques,DEUT,Diplôme des Etudes Universitaires Techniques,D660,DEUST BCG,2014,3425
globaldipfiliere_30,FST,Faculté des Sciences et Techniques,DEUT,Diplôme des Etudes Universitaires Techniques,D530,DEUST MIP,2014,4039
globaldipfiliere_31,ENCG,Ecoles Nationales de Commerce et de Gestion,DENCG,Diplôme des Ecoles Nationales de Commerce et de Gestion,D305,Diplôme de l ENCG Casa,2014,1341
globaldipfiliere_32,ENCG,Ecoles Nationales de Commerce et de Gestion,DENCG,Diplôme des Ecoles Nationales de Commerce et de Gestion,D673,Diplôme ENCG,2014,105
globaldipfiliere_33,ENCG,Ecoles Nationales de Commerce et de Gestion,MS,Master Spé,M654,Master spécialisé Actuariat et Finance de Marché,2014,112
